timestamp,source_ip,data
2026-05-18 11:40:29,192.168.1.100,44;-29.22;3.51;-8.49;-3.89;-2.06;1.42
2026-05-18 11:40:29,192.168.1.100,45;-29.78;2.27;-11.16;-3.55;-2.16;0.34
2026-05-18 11:40:29,192.168.1.100,46;-28.30;1.30;-13.59;-3.10;-2.14;-0.77
2026-05-18 11:40:29,192.168.1.100,47;-25.34;-0.04;-16.07;-2.57;-2.11;-1.75
2026-05-18 11:40:29,192.168.1.100,48;-20.61;-1.14;-18.54;-1.93;-2.19;-2.49
2026-05-18 11:40:29,192.168.1.100,49;-13.86;-2.37;-20.20;-1.06;-1.77;-3.13
2026-05-18 11:40:29,192.168.1.100,50;-6.28;-3.80;-20.32;0.12;-0.50;-3.65
2026-05-18 11:40:29,192.168.1.100,51;-0.94;-4.74;-18.97;1.32;0.71;-3.57
2026-05-18 11:40:29,192.168.1.100,52;3.56;-5.12;-16.11;2.33;1.67;-3.22
2026-05-18 11:40:29,192.168.1.100,53;5.58;-5.09;-11.57;2.98;1.57;-2.02
2026-05-18 11:40:29,192.168.1.100,54;5.76;-4.17;-6.27;3.28;1.70;-1.01
2026-05-18 11:40:29,192.168.1.100,55;4.36;-3.24;-1.47;3.19;1.87;-0.16
2026-05-18 11:40:29,192.168.1.100,56;3.30;-2.47;2.42;2.81;2.10;0.46
2026-05-18 11:40:30,192.168.1.100,57;2.65;-1.83;5.08;2.32;2.73;0.84
2026-05-18 11:40:30,192.168.1.100,58;2.58;-0.92;6.67;1.72;3.37;1.15
2026-05-18 11:40:30,192.168.1.100,59;0.48;-0.33;7.73;0.95;3.67;1.60
2026-05-18 11:40:30,192.168.1.100,60;-5.35;0.77;7.75;-0.21;2.45;2.45
2026-05-18 11:40:30,192.168.1.100,61;-12.12;2.77;6.27;-1.57;-0.01;3.28
2026-05-18 11:40:30,192.168.1.100,62;-16.92;3.61;4.26;-2.52;-1.73;3.47
2026-05-18 11:40:30,192.168.1.100,63;-22.27;4.01;1.69;-3.00;-1.99;2.86
2026-05-18 11:40:30,192.168.1.100,64;-26.20;3.65;-1.60;-3.23;-1.73;1.83
2026-05-18 11:40:30,192.168.1.100,65;-28.21;2.83;-5.12;-3.28;-1.71;0.72
2026-05-18 11:40:30,192.168.1.100,66;-28.10;1.99;-8.24;-3.17;-1.93;-0.34
2026-05-18 11:40:30,192.168.1.100,67;-26.53;1.06;-10.48;-2.99;-2.37;-1.23
2026-05-18 11:40:30,192.168.1.100,68;-23.60;0.34;-12.37;-2.78;-2.98;-1.94
2026-05-18 11:40:30,192.168.1.100,69;-18.90;-0.37;-14.30;-2.44;-3.21;-2.56
2026-05-18 11:40:30,192.168.1.100,70;-12.36;-1.70;-16.30;-1.90;-2.81;-3.11
2026-05-18 11:40:31,192.168.1.100,71;-5.30;-3.51;-18.14;-1.06;-1.72;-3.57
2026-05-18 11:40:31,192.168.1.100,72;0.24;-5.30;-18.64;0.08;0.16;-3.82
2026-05-18 11:40:31,192.168.1.100,73;5.56;-6.77;-17.73;1.22;0.92;-3.04
2026-05-18 11:40:31,192.168.1.100,74;7.69;-6.98;-14.57;2.12;1.24;-1.94
2026-05-18 11:40:31,192.168.1.100,75;8.08;-5.99;-9.73;2.68;1.48;-0.83
2026-05-18 11:40:31,192.168.1.100,76;6.53;-4.56;-4.69;2.87;1.85;0.11
2026-05-18 11:40:31,192.168.1.100,77;3.94;-3.10;-0.30;2.73;2.33;0.77
2026-05-18 11:40:31,192.168.1.100,78;0.91;-2.18;3.01;2.32;2.80;1.24
2026-05-18 11:40:31,192.168.1.100,79;-3.19;-1.12;5.21;1.68;2.68;1.62
2026-05-18 11:40:31,192.168.1.100,80;-6.82;-0.10;6.87;0.83;1.76;1.91
2026-05-18 11:40:31,192.168.1.100,81;-9.91;0.63;8.27;-0.05;0.82;2.09
2026-05-18 11:40:31,192.168.1.100,82;-12.70;1.49;8.69;-0.97;-0.03;2.08
2026-05-18 11:40:31,192.168.1.100,83;-15.36;2.06;7.54;-1.85;-0.54;1.84
2026-05-18 11:40:32,192.168.1.100,84;-17.53;2.24;4.66;-2.60;-0.97;1.47
2026-05-18 11:40:32,192.168.1.100,85;-19.34;1.87;0.50;-3.12;-1.37;1.01
2026-05-18 11:40:32,192.168.1.100,86;-20.70;1.09;-3.87;-3.39;-1.84;0.56
2026-05-18 11:40:32,192.168.1.100,87;-21.70;0.55;-7.61;-3.38;-2.15;0.07
2026-05-18 11:40:32,192.168.1.100,88;-21.90;-0.05;-11.44;-3.19;-2.47;-0.55
2026-05-18 11:40:33,192.168.1.100,89;-20.08;-1.31;-15.71;-2.82;-2.73;-1.14
2026-05-18 11:40:33,192.168.1.100,90;-15.59;-3.15;-19.83;-2.08;-2.41;-1.70
2026-05-18 11:40:33,192.168.1.100,91;-10.76;-4.94;-22.24;-0.87;-1.32;-2.20
2026-05-18 11:40:33,192.168.1.100,92;-6.44;-5.75;-21.97;0.50;-0.36;-2.36
2026-05-18 11:40:33,192.168.1.100,93;-2.40;-5.56;-19.17;1.74;0.53;-2.21
2026-05-18 11:40:33,192.168.1.100,94;0.20;-4.45;-14.35;2.65;0.83;-1.62
2026-05-18 11:40:33,192.168.1.100,95;1.21;-3.11;-8.85;3.23;1.41;-1.05
2026-05-18 11:40:33,192.168.1.100,96;0.97;-2.09;-3.68;3.40;1.92;-0.48
2026-05-18 11:40:33,192.168.1.100,97;0.27;-1.41;0.75;3.18;2.22;0.05
2026-05-18 11:40:33,192.168.1.100,98;-0.26;-1.14;4.24;2.69;2.41;0.48
2026-05-18 11:40:33,192.168.1.100,99;-0.90;-0.88;6.72;2.03;2.50;0.89
2026-05-18 11:40:33,192.168.1.100,100;-2.40;-0.52;8.75;1.25;2.34;1.29
2026-05-18 11:40:33,192.168.1.100,101;-5.92;0.44;9.52;0.22;1.41;1.86
2026-05-18 11:40:33,192.168.1.100,102;-9.37;1.53;8.94;-0.84;0.27;2.25
2026-05-18 11:40:33,192.168.1.100,103;-13.18;2.02;6.90;-1.75;-0.61;2.34
2026-05-18 11:40:33,192.168.1.100,104;-16.80;2.28;3.74;-2.42;-1.14;2.11
2026-05-18 11:40:33,192.168.1.100,105;-19.71;1.85;0.17;-2.81;-1.47;1.66
2026-05-18 11:40:33,192.168.1.100,106;-22.69;1.39;-3.38;-2.96;-1.83;1.09
2026-05-18 11:40:34,192.168.1.100,107;-24.63;1.16;-6.61;-2.95;-2.24;0.41
2026-05-18 11:40:34,192.168.1.100,108;-25.72;0.77;-9.72;-2.81;-2.68;-0.34
2026-05-18 11:40:34,192.168.1.100,109;-23.96;0.14;-12.73;-2.49;-2.99;-1.13
2026-05-18 11:40:34,192.168.1.100,110;-18.74;-1.20;-15.43;-1.92;-2.72;-1.92
2026-05-18 11:40:34,192.168.1.100,111;-12.22;-2.86;-17.37;-1.03;-1.76;-2.55
2026-05-18 11:40:34,192.168.1.100,112;-6.26;-4.15;-18.08;0.02;-0.71;-2.83
2026-05-18 11:40:34,192.168.1.100,113;-1.55;-5.02;-16.71;1.10;0.11;-2.62
